"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 01 18:23:51 GMT 2025","Sat Feb 01 18:23:51 GMT 2025","7","chromium","search.spec.js","","","","Given that I am on the homepage, when I search for ""NonExistentItem"" and press Enter, then I should see no results @noResults",""
"failed","Sat Feb 01 18:23:50 GMT 2025","Sat Feb 01 18:23:50 GMT 2025","6","chromium","search.spec.js","","","","Given that I am on the homepage, when I search for ""Drex"" and press Enter, then I should see the results related to ""Drex"" @searchResults",""
